country,city,average_floors
South Korea,Seoul,123.0
Saudi Arabia,Mecca,120.0
China,Beijing,109.0
China,Shanghai,105.66666666666667
South Korea,Busan,101.0
Taiwan,Taipei,101.0
United States,Chicago,99.33333333333333
Malaysia,Kuala Lumpur,97.25
China,Tianjin,97.0
China,Changsha,94.0
Russia,Moscow,91.5
China,Guangzhou,88.5
United Arab Emirates,Dubai,88.33333333333333
United Arab Emirates,Abu Dhabi,88.0
China,Dongguan,88.0
Russia,Saint Petersburg,87.0
China,Hong Kong,86.5
China,Wuhan,86.0
China,Suzhou,86.0
China,Nanning,84.0
China,Dalian,83.0
United States,New York City,81.625
Vietnam,Ho Chi Minh City,81.0
China,Shenzhen,80.71428571428571
Egypt,Cairo,80.0
Kuwait,Kuwait City,80.0
China,Guiyang,79.0
China,Chongqing,76.5
China,Xi'an,75.0
China,Qingdao,73.0
Saudi Arabia,Riyadh,72.0
China,Nanjing,71.5
China,Shenyang,68.0
